fixed,harmed,net,switches,stateroll_only_recovered,bsl_top1,selector_top1,split,gate,gate_rule,gate_model,score,harmed_budget,threshold,candidate_topk
5,1,4,29,2,80.0,81.33333333333333,splitB_train45_47_val42_44,detector_v2,fp_le_3_max30,logistic,bce,2,-2.016884,1
7,1,6,29,4,80.0,82.0,splitB_train45_47_val42_44,detector_v2,fp_le_3_max30,logistic,rank_preserve,0,-2.101803,1
7,1,6,29,4,80.0,82.0,splitB_train45_47_val42_44,detector_v2,fp_le_3_max30,logistic,rank_preserve,1,-2.101803,1
7,1,6,29,4,80.0,82.0,splitB_train45_47_val42_44,detector_v2,fp_le_3_max30,logistic,rank_preserve,2,-2.101803,1
7,1,6,29,4,80.0,82.0,splitB_train45_47_val42_44,detector_v2,fp_le_3_max30,logistic,selector_v3_raw,0,-1.267604,1
7,1,6,29,4,80.0,82.0,splitB_train45_47_val42_44,detector_v2,fp_le_3_max30,logistic,selector_v3_raw,1,-1.267604,1
7,1,6,29,4,80.0,82.0,splitB_train45_47_val42_44,detector_v2,fp_le_3_max30,logistic,selector_v3_raw,2,-1.267604,1
4,0,4,17,1,80.0,81.33333333333333,splitB_train45_47_val42_44,detector_v2,fp_le_3_max30,logistic,agreement_bce_rank,0,-2.101803,1
4,0,4,17,1,80.0,81.33333333333333,splitB_train45_47_val42_44,detector_v2,fp_le_3_max30,logistic,agreement_bce_rank,1,-2.101803,1
4,0,4,17,1,80.0,81.33333333333333,splitB_train45_47_val42_44,detector_v2,fp_le_3_max30,logistic,agreement_bce_rank,2,-2.101803,1
6,0,6,30,3,,82.0,OOF,detector_v2,,,agreement_bce_rank,0,,1
6,0,6,30,3,,82.0,OOF,detector_v2,,,agreement_bce_rank,1,,1
6,0,6,30,3,,82.0,OOF,detector_v2,,,agreement_bce_rank,2,,1
9,2,7,59,6,,82.16666666666667,OOF,detector_v2,,,bce,0,,1
9,2,7,59,6,,82.16666666666667,OOF,detector_v2,,,bce,1,,1
9,2,7,59,6,,82.16666666666667,OOF,detector_v2,,,bce,2,,1
15,2,13,59,9,,83.16666666666667,OOF,detector_v2,,,rank_preserve,0,,1
15,2,13,59,9,,83.16666666666667,OOF,detector_v2,,,rank_preserve,1,,1
15,2,13,59,9,,83.16666666666667,OOF,detector_v2,,,rank_preserve,2,,1
15,2,13,59,9,,83.16666666666667,OOF,detector_v2,,,raw_cost,0,,1
15,2,13,59,9,,83.16666666666667,OOF,detector_v2,,,raw_cost,1,,1
15,2,13,59,9,,83.16666666666667,OOF,detector_v2,,,raw_cost,2,,1
15,2,13,59,9,,83.16666666666667,OOF,detector_v2,,,selector_v3_raw,0,,1
15,2,13,59,9,,83.16666666666667,OOF,detector_v2,,,selector_v3_raw,1,,1
15,2,13,59,9,,83.16666666666667,OOF,detector_v2,,,selector_v3_raw,2,,1
2,1,1,8,2,,81.16666666666667,OOF,fixed_precision,,,agreement_bce_rank,0,,1
2,1,1,8,2,,81.16666666666667,OOF,fixed_precision,,,agreement_bce_rank,1,,1
2,1,1,8,2,,81.16666666666667,OOF,fixed_precision,,,agreement_bce_rank,2,,1
3,2,1,17,3,,81.16666666666667,OOF,fixed_precision,,,bce,0,,1
3,2,1,17,3,,81.16666666666667,OOF,fixed_precision,,,bce,1,,1
3,2,1,17,3,,81.16666666666667,OOF,fixed_precision,,,bce,2,,1
6,2,4,17,6,,81.66666666666667,OOF,fixed_precision,,,rank_preserve,0,,1
6,2,4,17,6,,81.66666666666667,OOF,fixed_precision,,,rank_preserve,1,,1
6,2,4,17,6,,81.66666666666667,OOF,fixed_precision,,,rank_preserve,2,,1
6,2,4,17,6,,81.66666666666667,OOF,fixed_precision,,,raw_cost,0,,1
6,2,4,17,6,,81.66666666666667,OOF,fixed_precision,,,raw_cost,1,,1
6,2,4,17,6,,81.66666666666667,OOF,fixed_precision,,,raw_cost,2,,1
6,2,4,17,6,,81.66666666666667,OOF,fixed_precision,,,selector_v3_raw,0,,1
6,2,4,17,6,,81.66666666666667,OOF,fixed_precision,,,selector_v3_raw,1,,1
6,2,4,17,6,,81.66666666666667,OOF,fixed_precision,,,selector_v3_raw,2,,1
13,2,11,34,10,,82.83333333333333,OOF,global,,,agreement_bce_rank,0,,1
13,3,10,40,10,,82.66666666666667,OOF,global,,,agreement_bce_rank,1,,1
13,3,10,40,10,,82.66666666666667,OOF,global,,,agreement_bce_rank,2,,1
1,0,1,1,1,,81.16666666666667,OOF,global,,,bce,0,,1
1,3,-2,19,1,,80.66666666666667,OOF,global,,,bce,1,,1
1,3,-2,19,1,,80.66666666666667,OOF,global,,,bce,2,,1
19,2,17,48,16,,83.83333333333333,OOF,global,,,rank_preserve,0,,1
20,3,17,56,17,,83.83333333333333,OOF,global,,,rank_preserve,1,,1
20,3,17,56,17,,83.83333333333333,OOF,global,,,rank_preserve,2,,1
0,0,0,2,0,,81.0,OOF,global,,,raw_cost,0,,1
0,0,0,2,0,,81.0,OOF,global,,,raw_cost,1,,1
0,2,-2,7,0,,80.66666666666667,OOF,global,,,raw_cost,2,,1
0,0,0,2,0,,81.0,OOF,global,,,selector_v3_raw,0,,1
0,0,0,2,0,,81.0,OOF,global,,,selector_v3_raw,1,,1
0,2,-2,7,0,,80.66666666666667,OOF,global,,,selector_v3_raw,2,,1
